,second_name,team,player_code,now_cost,total_points,photo,position,value
83,White,Brighton,198869,4.4,61,198869.jpg,Defender,13.9
84,Fernandes da Silva Junior,Brighton,209362,3.9,5,209362.jpg,Defender,1.3
85,Bissouma,Brighton,227127,4.4,42,227127.jpg,Midfielder,9.5
86,Lamptey,Brighton,232792,4.6,35,232792.jpg,Defender,7.6
87,Connolly,Brighton,233425,5.2,32,233425.jpg,Forward,6.2
88,Alzate,Brighton,235382,4.3,25,235382.jpg,Midfielder,5.8
89,Mac Allister,Brighton,243016,5.3,27,243016.jpg,Midfielder,5.1
92,Molumby,Brighton,220738,4.5,1,220738.jpg,Midfielder,0.2
93,Zeqiri,Brighton,204676,5.0,3,204676.jpg,Forward,0.6
94,Welbeck,Brighton,50175,5.5,36,50175.jpg,Forward,6.5
95,Sánchez,Brighton,215059,4.4,47,215059.jpg,Goalkeeper,10.7
96,Tau,Brighton,230127,5.3,3,230127.jpg,Midfielder,0.6
98,Khadra,Brighton,465572,4.5,1,465572.jpg,Midfielder,0.2
104,Stephens,Burnley,40845,4.2,7,40845.jpg,Midfielder,1.7
105,Tarkowski,Burnley,17761,5.3,59,17761.jpg,Defender,11.1
106,Bardsley,Burnley,17997,4.4,1,17997.jpg,Defender,0.2
107,Pieters,Burnley,39487,4.3,29,39487.jpg,Defender,6.7
108,Cork,Burnley,40145,5.0,5,40145.jpg,Midfielder,1.0
109,Long,Burnley,41674,4.3,11,41674.jpg,Defender,2.6
110,Rodriguez,Burnley,44683,5.8,24,44683.jpg,Forward,4.1
111,Barnes,Burnley,44699,6.0,35,44699.jpg,Forward,5.8
112,Mee,Burnley,51927,4.9,68,51927.jpg,Defender,13.9
113,Westwood,Burnley,60551,5.3,60,60551.jpg,Midfielder,11.3
114,Gudmundsson,Burnley,60586,5.4,17,60586.jpg,Midfielder,3.1
115,Wood,Burnley,60689,6.2,63,60689.jpg,Forward,10.2
116,Lowton,Burnley,68983,4.4,52,68983.jpg,Defender,11.8
117,Vydra,Burnley,81183,4.8,15,81183.jpg,Forward,3.1
119,Brady,Burnley,90517,5.0,41,90517.jpg,Midfielder,8.2
120,Pope,Burnley,98747,5.4,100,98747.jpg,Goalkeeper,18.5
121,Taylor,Burnley,103914,4.5,52,103914.jpg,Defender,11.6
122,Brownhill,Burnley,172782,4.9,41,172782.jpg,Midfielder,8.4
124,McNeil,Burnley,433154,5.7,56,433154.jpg,Midfielder,9.8
125,Dunne,Burnley,218023,3.8,8,218023.jpg,Defender,2.1
127,Benson,Burnley,217401,4.5,10,217401.jpg,Midfielder,2.2
134,Mumbongo,Burnley,430367,4.5,1,430367.jpg,Forward,0.2
136,Caballero,Chelsea,20310,4.7,1,20310.jpg,Goalkeeper,0.2
137,Azpilicueta,Chelsea,41328,5.6,54,41328.jpg,Defender,9.6
138,Giroud,Chelsea,44346,6.7,31,44346.jpg,Forward,4.6
139,Alonso,Chelsea,82263,5.6,17,82263.jpg,Defender,3.0
140,Frello Filho,Chelsea,85955,4.7,56,85955.jpg,Midfielder,11.9
141,Kovacic,Chelsea,91651,5.3,33,91651.jpg,Midfielder,6.2
142,Rüdiger,Chelsea,102380,4.5,31,102380.jpg,Defender,6.9
143,Zouma,Chelsea,103192,5.5,78,103192.jpg,Defender,14.2
144,Palmieri dos Santos,Chelsea,109533,4.7,7,109533.jpg,Defender,1.5
145,Arrizabalaga,Chelsea,109745,4.7,6,109745.jpg,Goalkeeper,1.3
146,Kanté,Chelsea,116594,4.9,38,116594.jpg,Midfielder,7.8
147,Ziyech,Chelsea,124183,8.1,40,124183.jpg,Midfielder,4.9
148,Christensen,Chelsea,135363,4.7,3,135363.jpg,Defender,0.6
149,Werner,Chelsea,165153,9.2,76,165153.jpg,Forward,8.3
150,Abraham,Chelsea,173879,7.2,65,173879.jpg,Forward,9.0
